run_id,date,ymd,scenario,label,wr_pct,pnl,tp,sl,used,band_min,band_max,min_rvol_open,news_only,news_first,enforce_band,top,news_min_score,file,mtime
1759947989,2025-08-01,20250801,B,B_top2_score3_g20_rvol24_authFix,0.0,0.0,0,0,0,10.0,40.0,2.4,True,True,True,2,3.0,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250801\_comparisons\comparison_1759947989.json,1759947990.0
1759947999,2025-08-04,20250804,B,B_top2_score3_g20_rvol24_authFix,0.0,0.0,0,0,0,10.0,40.0,2.4,True,True,True,2,3.0,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250804\_comparisons\comparison_1759947999.json,1759948000.0
1760549888,2025-08-05,20250805,B,B_OFF_rise10_smoketest,0.0,0.0,0,0,0,10.0,40.0,3.0,,,,,,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250805\_comparisons\comparison_1760549888.json,1760549890.0
1760466276,2025-08-05,20250805,B,B_OFF_top2_rvol26_g15,0.0,0.0,0,0,0,10.0,40.0,2.0,,,,,,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250805\_comparisons\comparison_1760466276.json,1760466278.0
1760468386,2025-08-05,20250805,B,B_OFF_top3_rvol20_g15,0.0,0.0,0,0,0,10.0,40.0,3.0,,,,,,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250805\_comparisons\comparison_1760468386.json,1760468388.0
1760550119,2025-08-05,20250805,B,B_ON_rise10_smoketest,0.0,0.0,0,0,0,10.0,40.0,3.0,,,,,,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250805\_comparisons\comparison_1760550119.json,1760550120.0
1761244179,2025-08-05,20250805,B,B_ON_score2_top3_rvol20_g15,66.67,20.79,2,1,3,10.0,40.0,3.0,,,,,,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250805\_comparisons\comparison_1761244179.json,1761244180.0263703
1760465871,2025-08-05,20250805,B,B_ON_score3_top2_rvol26_g15,100.0,39.16,1,0,1,10.0,40.0,2.0,,,,,,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250805\_comparisons\comparison_1760465871.json,1760465872.0
1760464339,2025-08-05,20250805,B,B_catalystOFF_top3_rvol24_g15,0.0,0.0,0,0,0,10.0,40.0,3.0,,,,,,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250805\_comparisons\comparison_1760464339.json,1760464340.0
1760464119,2025-08-05,20250805,B,B_catalystON_score3_top3_rvol24_g15,100.0,27.78,1,0,1,10.0,40.0,3.0,,,,,,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250805\_comparisons\comparison_1760464119.json,1760464120.0
1760385217,2025-08-05,20250805,B,B_macd10_choke,0.0,0.0,0,0,0,10.0,40.0,2.0,True,True,True,3,3.0,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250805\_comparisons\comparison_1760385217.json,1760385218.0
1760385542,2025-08-05,20250805,B,B_macd2,100.0,27.78,1,0,1,10.0,40.0,2.0,True,True,True,3,3.0,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250805\_comparisons\comparison_1760385542.json,1760385544.0
1760390368,2025-08-05,20250805,B,B_macd2_default_Aug,100.0,27.78,1,0,1,10.0,40.0,3.0,,,,,,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250805\_comparisons\comparison_1760390368.json,1760390370.0
1760385689,2025-08-05,20250805,B,B_macd3,100.0,27.93,1,0,1,10.0,40.0,2.0,True,True,True,3,3.0,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250805\_comparisons\comparison_1760385689.json,1760385692.0
1759074256,2025-08-05,20250805,B,B_primary_top3_rvol20_g15_macd2,100.0,47.82,3,0,3,10.0,40.0,2.0,True,True,True,3,2.0,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250805\_comparisons\comparison_1759074256.json,1759584146.0
1759586191,2025-08-05,20250805,B,B_primary_top4_rvol18_g15,100.0,28.51,3,0,3,10.0,40.0,1.8,True,True,True,4,2.0,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250805\_comparisons\comparison_1759586191.json,1759586192.0
1760390957,2025-08-05,20250805,B,B_profit_tune1,100.0,27.78,1,0,1,8.0,45.0,5.0,,,,,,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250805\_comparisons\comparison_1760390957.json,1760390960.0
1760380276,2025-08-05,20250805,B,B_rise3,100.0,27.74,1,0,1,10.0,40.0,2.0,True,True,True,3,3.0,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250805\_comparisons\comparison_1760380276.json,1760380278.0
1760033178,2025-08-05,20250805,B,B_sizingOFF_Aug05_07,100.0,26.6,1,0,1,10.0,40.0,2.4,True,,True,2,3.0,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250805\_comparisons\comparison_1760033178.json,1760033180.0
1760035441,2025-08-05,20250805,B,B_sizingON_Aug05_07,100.0,19.95,1,0,1,10.0,40.0,2.4,True,,True,2,3.0,C:\Users\boydp\Desktop\midas_V2_v047_working\out\20250805\_comparisons\comparison_1760035441.json,1760035442.0
