symbol,outcome,pnl
APM,TP,27.94
PTIX,TP,27.94
AEMD,TP,27.80
THAR,TP,27.93
GRO,SL,-34.97
SLQT,SL,-34.98
VELO,TP,27.95
YOUL,TP,27.98
RENT,TP,27.99
CATO,SL,-34.96
ISPC,TP,27.99
EVOK,TP,27.98
SCNI,SL,-34.98
