symbol,title,score,base,boost_flags,source,published_utc
LASE,Laser Photonics Stock Surges 72% After Hours Following Strong Q2 Earnings Beat And Strategic Growth Initiatives,3,2,semantic|posverb_pct>=20.0,polygon,2025-08-19T03:20:10Z
IOVA,Why Iovance Biotherapeutics Stock Was Climbing Today,0,0,,polygon,2025-08-19T19:16:16Z
GTN.A,Gray Renews All Fox Affiliation Agreements,0,0,,polygon,2025-08-18T11:00:00Z
