symbol,title,score,base,boost_flags,source,published_utc
PHLT,"SHAREHOLDER NOTICE: Brodsky & Smith Announces an Investigation of Performant Healthcare, Inc. (Nasdaq - PHLT)",0,0,,polygon,2025-08-01T18:47:00Z
BTAI,BioXcel Therapeutics Announces Last Patient Last Visit in SERENITY At-Home Pivotal Phase 3 Safety Trial for Acute Treatment of Agitation Associated with Bipolar Disorders or Schizophrenia,0,0,,polygon,2025-08-01T11:00:00Z
MNOV,MediciNova Announces Signing of a Standby Equity Purchase Agreement for up to $30 Million,0,0,,polygon,2025-07-31T23:30:00Z
OPAD,"Down 90% From Its High, Is There Still Hope for Opendoor Stock?",0,0,,polygon,2025-07-31T10:07:00Z
IMAB,I-Mab Announces Pricing of $65 Million Underwritten Offering of American Depositary Shares,0,0,,polygon,2025-08-01T12:00:00Z
FLGT,Why Fulgent Genetics Stock Was Crushing It on Friday,0,0,,polygon,2025-08-01T20:26:08Z
NATR,Nature's Sunshine (NATR) Q2 EPS Up 400%,3,2,posverb_pct>=20.0,polygon,2025-08-01T18:23:16Z
