symbol,title,score,base,boost_flags,source,published_utc
TRIB,Trinity Biotech Receives Regulatory Approval to Begin FDA-Cleared PreClara™ Preeclampsia Testing Service,0,0,,polygon,2025-08-14T13:00:00Z
JEM,707 Cayman Holdings Limited Announces Entering Into Memorandum Of Understanding,0,0,,polygon,2025-08-13T08:31:00Z
XOS,Xos Reports Record Q2 Revenue Growth,3,2,semantic,polygon,2025-08-13T21:22:14Z
DLO,DLocal Q2 Profit Jumps on Strong Growth,2,2,,polygon,2025-08-13T22:24:41Z
CINT,CI&T Q2 Revenue Rises to $117 Million,2,2,,polygon,2025-08-14T13:22:41Z
BFRI,Biofrontera Q2 Revenue Jumps 15%,2,2,,polygon,2025-08-14T19:01:39Z
AMBO,Ambow Education Signs White House Pledge to Expand Access to AI-Supported Education for America’s Youth,0,0,,polygon,2025-08-14T10:00:00Z
