date,scenario,trades,wins,losses,winrate_pct,pnl
2025-08-05,B,4,2,2,50.0,-14.26
2025-08-06,B,4,3,1,75.0,48.74
2025-08-07,B,0,0,0,0.0,0.0
2025-08-08,B,3,1,2,33.33,-41.94
