symbol,outcome,pnl
GMHS,SL,-34.99
MOVE,TP,27.85
IPDN,TP,27.97
NUKK,TP,27.99
WOOF,TP,27.97
NEO,TP,27.90
IFRX,SL,-34.97
SOGP,SL,-34.72
ANTE,SL,-34.98
