symbol,outcome,pnl
PPSI,TP,27.92
TIVC,SL,-34.99
PGEN,SL,-34.97
ADN,TP,27.93
UNHG,TP,27.94
WKHS,SL,-34.99
KULR,TP,27.96
VIOT,SL,-34.91
FUFU,SL,-34.97
HCTI,TP,27.97
GWH,SL,-34.97
XNET,SL,-34.90
UA,TP,27.96
OPEN,SL,-34.97
NU,SL,-20.16
BZAI,TP,0.08
PRPL,SL,-0.17
TE,TP,0.03
