symbol,outcome,pnl
CWD,TP,27.98
WAI,TP,28.00
YORKW,SL,-34.96
TELO,TP,27.99
RAYA,SL,-34.84
LGHL,TP,27.97
SOGP,TP,27.89
AQB,SL,-34.97
WHLR,TP,27.84
ICCM,SL,-34.97
GPRE,TP,27.98
ASTI,SL,-34.99
VELO,SL,-34.89
SPRC,SL,-34.92
