symbol,outcome,pnl
MNTS,SL,-34.97
BSLK,TP,27.94
ATNF,SL,-34.74
WBTN,TP,27.70
GBIO,SL,-34.88
CGTX,SL,-35.00
TGEN,TP,27.87
XFOR,SL,-35.00
SMWB,SL,-34.94
UPXI,SL,-34.86
